2024-11-07 03:16:00.950: 2532.8,0.2,1133.7,1.1,560.9,1.7,552.2,2.6,480.4,2.1,365.8,3.3,305.8,5.7,264.4,9.8,202.3,7.5
2024-11-07 03:16:01.026: 2352.6,0.2,576.1,1.1,368.8,1.8,335.1,2.6,333.8,2.7,313.0,5.8,300.6,13.3,295.6,3.3,262.2,9.2
2024-11-07 03:16:01.102: 2250.4,0.2,328.5,13.2,318.0,2.2,313.2,5.8,295.8,16.7,294.3,2.8,288.1,1.1,266.4,8.8,258.6,3.4
2024-11-07 03:16:01.178: 2202.6,0.2,419.9,13.2,414.4,3.0,314.2,16.8,310.1,8.7,281.8,5.8,266.8,9.5,259.1,2.0,256.3,16.2
2024-11-07 03:16:01.254: 2214.0,0.2,494.3,2.6,399.1,13.4,355.7,8.7,319.6,16.7,318.3,9.7,305.8,5.8,271.7,16.2,219.2,13.0
2024-11-07 03:16:01.330: 2220.8,0.2,423.7,13.5,333.0,8.6,326.3,5.7,292.7,16.7,290.5,2.6,281.0,16.4,270.8,9.6,240.8,17.3
2024-11-07 03:16:01.406: 2213.5,0.2,497.6,2.6,433.7,13.6,329.7,5.8,326.9,3.3,326.0,8.7,287.4,17.3,274.1,16.4,237.8,14.1
2024-11-07 03:16:01.483: 2182.7,0.2,401.7,13.7,381.9,2.6,344.3,8.8,309.4,5.8,265.6,3.3,260.1,9.5,250.9,17.3,242.0,16.1
2024-11-07 03:16:01.559: 2052.3,0.2,376.6,2.7,370.0,13.6,326.7,5.8,281.2,9.6,273.0,8.7,260.3,11.1,249.6,17.3,240.1,15.1
2024-11-07 03:16:01.635: 2018.0,0.2,360.4,2.7,358.5,13.8,317.6,5.7,291.3,3.2,287.0,9.8,245.2,8.7,244.2,15.0,242.4,2.1
2024-11-07 03:16:01.711: 2082.1,0.2,326.5,3.1,323.7,14.2,290.3,5.8,288.3,8.7,249.9,9.7,243.5,13.8,214.0,10.7,180.1,2.0
