2024-11-07 03:12:02.788: 7104.3,0.2,1234.9,1.1,707.9,1.7,659.7,0.9,518.9,1.3,332.2,2.6,288.1,2.8,286.7,2.1,273.7,2.4
2024-11-07 03:12:02.865: 4754.9,0.2,642.4,1.1,541.8,1.7,496.6,2.3,484.4,2.2,361.0,2.8,352.4,3.7,329.9,0.9,296.1,3.2
2024-11-07 03:12:02.941: 3584.1,0.2,720.2,2.1,427.6,1.7,393.0,5.8,350.2,3.2,341.1,13.2,327.7,2.8,321.2,1.1,315.1,3.9
2024-11-07 03:12:03.018: 3028.3,0.2,821.6,2.0,502.7,5.8,433.9,2.7,431.9,1.6,407.7,3.3,385.9,13.1,354.3,4.3,336.4,13.9
2024-11-07 03:12:03.095: 2756.6,0.2,904.5,2.1,610.5,5.8,433.4,2.7,417.7,4.3,390.3,13.5,385.3,1.6,367.9,12.9,338.2,3.2
2024-11-07 03:12:03.171: 2621.9,0.2,968.5,2.1,555.3,5.8,449.0,4.3,394.2,13.4,393.5,12.8,377.3,6.8,341.8,1.6,330.3,14.0
2024-11-07 03:12:03.247: 2556.0,0.2,935.8,2.2,452.2,4.3,443.1,5.9,422.7,2.9,414.3,12.7,396.1,5.5,384.5,13.2,381.0,13.6
2024-11-07 03:12:03.324: 2528.5,0.2,888.1,2.2,553.6,2.9,526.4,5.9,513.6,4.3,431.3,12.7,429.1,3.3,390.8,13.2,385.0,3.8
2024-11-07 03:12:03.401: 2399.2,0.2,798.6,2.2,645.5,2.9,508.1,4.3,473.5,3.3,445.2,12.8,416.3,5.9,378.5,3.7,345.2,13.6
2024-11-07 03:12:03.478: 2358.0,0.2,725.0,2.2,710.5,2.9,465.0,5.9,453.0,12.9,442.8,3.3,436.2,4.2,346.6,13.6,341.8,3.7
2024-11-07 03:12:03.555: 2423.5,0.2,715.7,2.2,691.6,2.9,488.9,5.8,449.4,12.9,437.0,4.2,401.9,3.3,368.4,5.5,350.6,3.7
2024-11-07 03:12:03.632: 2371.4,0.2,791.3,2.2,694.6,2.9,440.8,13.0,413.5,3.3,409.9,3.7,398.3,4.2,380.6,5.9,314.6,5.4
2024-11-07 03:12:03.709: 2287.8,0.2,788.3,2.2,689.0,2.9,449.2,3.3,437.8,12.6,415.2,3.7,371.8,6.0,324.3,4.2,310.3,6.7
2024-11-07 03:12:03.786: 2249.4,0.2,712.6,2.8,661.8,2.2,529.5,5.9,444.6,3.3,437.4,12.7,358.9,3.7,312.7,6.7,299.7,14.4
2024-11-07 03:12:03.863: 2237.4,0.2,766.8,2.8,612.3,2.0,474.5,6.0,460.1,12.7,431.6,4.5,419.3,3.3,333.9,6.7,308.5,12.2
2024-11-07 03:12:03.940: 2222.6,0.2,968.8,2.0,758.2,2.8,479.5,12.9,440.2,6.0,419.2,4.5,363.1,3.4,349.9,12.2,341.2,3.6
2024-11-07 03:12:04.017: 2198.2,0.2,1155.9,2.0,700.3,2.7,458.8,13.1,435.5,1.4,394.6,12.6,377.6,3.6,367.2,6.1,364.8,5.8
2024-11-07 03:12:04.094: 2203.3,0.2,1200.3,2.0,686.2,2.7,499.2,1.4,470.0,13.2,413.1,12.5,371.2,4.5,357.8,13.7,355.3,5.0
2024-11-07 03:12:04.171: 2227.2,0.2,1119.2,2.0,714.2,2.7,534.4,1.4,448.3,13.2,408.6,5.8,406.4,12.5,391.1,13.7,383.6,5.0
2024-11-07 03:12:04.248: 2222.8,0.2,1119.1,2.0,620.9,2.7,559.3,1.4,431.1,13.2,409.4,13.8,407.2,12.5,374.6,6.8,359.1,7.3
2024-11-07 03:12:04.325: 2255.7,0.2,1108.2,2.0,518.9,1.4,468.7,2.7,418.8,13.8,418.0,12.9,400.0,13.2,378.4,6.8,366.4,7.9
2024-11-07 03:12:04.402: 2271.7,0.2,907.2,2.0,516.9,1.5,515.6,2.7,413.4,13.8,398.6,12.5,396.9,13.2,394.5,13.0,373.1,6.8
2024-11-07 03:12:04.479: 2218.6,0.2,635.3,1.9,632.0,2.7,535.5,1.6,408.9,12.6,402.3,13.2,398.2,13.8,384.0,6.8,378.4,3.9
2024-11-07 03:12:04.556: 2217.9,0.2,719.6,2.7,667.2,1.9,556.6,1.6,409.1,12.8,389.9,13.2,369.4,7.6,364.9,6.8,360.9,13.7
2024-11-07 03:12:04.633: 2252.1,0.2,788.1,3.0,583.6,1.6,567.8,2.0,405.2,12.9,383.0,12.3,376.6,5.8,366.3,6.2,359.9,4.3
2024-11-07 03:12:04.710: 2265.1,0.2,793.6,3.0,513.2,2.0,446.9,1.6,425.1,13.1,345.7,13.7,338.0,6.2,323.4,7.9,314.2,7.6
2024-11-07 03:12:04.787: 2235.8,0.2,762.7,2.9,606.6,2.0,444.1,5.8,430.2,13.0,426.2,12.7,342.9,7.6,338.6,13.6,335.5,8.0
2024-11-07 03:12:04.864: 2221.7,0.2,689.5,2.9,634.4,1.9,444.0,5.8,432.6,13.0,367.6,6.8,352.8,13.6,351.1,7.6,333.1,8.0
2024-11-07 03:12:04.941: 2269.2,0.2,655.6,1.9,607.1,2.8,441.8,13.0,391.8,12.3,345.1,5.8,339.1,13.7,334.4,7.6,323.7,6.8
2024-11-07 03:12:05.018: 2289.6,0.2,656.1,2.7,624.9,1.9,429.5,12.9,416.2,5.8,390.3,12.3,338.7,13.7,337.2,7.6,306.0,4.3
2024-11-07 03:12:05.095: 2289.8,0.2,723.9,2.7,553.9,1.9,456.7,1.6,442.9,13.0,408.1,12.3,357.6,13.7,321.9,4.4,311.3,7.9
2024-11-07 03:12:05.172: 2273.6,0.2,840.0,3.0,608.2,1.6,526.3,2.0,441.7,13.0,426.9,12.3,403.6,3.6,367.8,5.8,349.5,13.6
2024-11-07 03:12:05.249: 2258.9,0.2,893.3,3.0,769.6,1.6,610.9,2.0,431.6,12.9,351.9,6.2,351.9,3.6,351.3,3.8,346.9,13.6
2024-11-07 03:12:05.326: 2228.1,0.2,902.5,3.0,646.6,1.6,600.6,2.0,424.2,12.7,373.5,6.1,365.1,6.8,354.7,13.6,335.3,5.8
2024-11-07 03:12:05.403: 2205.3,0.2,901.6,3.0,571.2,1.6,511.5,2.0,434.3,13.1,433.5,12.8,388.0,6.8,357.6,5.8,357.2,6.1
2024-11-07 03:12:05.480: 2212.0,0.2,902.3,3.0,663.5,1.7,569.1,2.1,441.1,13.1,413.9,6.1,382.1,6.8,324.3,12.0,313.4,13.7
2024-11-07 03:12:05.557: 2240.8,0.2,890.8,3.0,739.9,2.1,673.9,1.6,432.3,12.9,406.2,6.1,334.3,13.7,320.7,5.8,316.6,12.2
2024-11-07 03:12:05.634: 2259.8,0.2,937.6,2.1,885.4,3.0,418.9,12.7,414.4,13.2,414.1,6.1,367.7,3.4,332.6,4.2,331.6,13.7
2024-11-07 03:12:05.711: 2266.6,0.2,1020.9,2.1,852.6,3.0,437.9,13.1,396.1,6.1,371.2,5.8,346.5,4.6,344.2,5.1,336.8,13.7
2024-11-07 03:12:05.788: 2256.8,0.2,1110.1,2.1,723.1,2.9,441.7,13.0,419.9,4.6,390.5,6.1,371.5,5.1,345.9,8.2,332.5,13.6
2024-11-07 03:12:05.865: 2229.5,0.2,1071.9,2.1,506.2,2.9,430.2,12.9,401.3,4.6,387.9,5.1,379.4,6.0,376.1,8.1,375.2,5.8
2024-11-07 03:12:05.942: 2210.5,0.2,1013.5,2.1,431.4,12.8,382.9,2.6,369.6,8.1,366.1,6.0,364.0,13.5,359.8,5.0,346.0,3.0
2024-11-07 03:12:06.019: 2244.9,0.2,987.0,2.1,469.4,5.9,436.2,12.6,386.3,2.6,380.4,5.0,378.6,13.5,356.6,6.8,348.5,8.1
2024-11-07 03:12:06.096: 2248.8,0.2,1025.5,2.1,616.3,5.8,441.4,12.6,395.5,3.7,381.6,13.5,375.8,6.8,355.0,2.6,342.2,5.0
2024-11-07 03:12:06.173: 2202.0,0.2,1004.0,2.1,711.6,5.8,399.8,12.9,381.0,13.5,348.6,3.8,346.8,2.6,340.8,6.8,340.8,5.0
2024-11-07 03:12:06.250: 2227.4,0.2,820.3,2.1,762.2,5.8,541.5,2.8,459.8,3.9,409.5,12.6,390.9,13.6,368.0,5.0,353.8,6.7
2024-11-07 03:12:06.327: 2254.4,0.2,750.4,2.1,674.8,2.7,667.7,5.8,435.6,3.8,411.1,12.6,375.5,13.7,373.4,13.3,373.1,5.1
2024-11-07 03:12:06.404: 2264.8,0.2,763.9,2.2,678.9,5.8,644.0,2.8,406.6,12.6,391.2,13.2,378.0,5.0,366.9,3.3,364.0,13.7
2024-11-07 03:12:06.481: 2274.5,0.2,809.7,2.1,725.2,5.8,457.2,2.9,394.4,13.1,393.3,12.6,387.7,2.7,381.1,13.6,353.8,3.3
2024-11-07 03:12:06.558: 2247.1,0.2,745.0,5.8,703.0,2.1,426.2,2.6,414.4,4.2,403.4,12.9,372.3,1.7,369.4,7.5,354.5,8.4
2024-11-07 03:12:06.635: 2230.9,0.2,590.5,2.2,560.6,2.6,543.7,5.8,513.6,4.2,400.8,12.6,397.6,7.5,369.1,8.3,368.6,12.9
2024-11-07 03:12:06.712: 2209.7,0.2,632.6,5.8,630.4,2.1,520.9,2.6,483.2,4.2,390.4,12.6,386.0,1.7,377.1,12.9,375.2,7.5
2024-11-07 03:12:06.789: 2200.2,0.2,570.2,2.2,558.4,2.6,468.7,4.3,425.2,5.7,391.0,1.7,380.9,12.9,370.1,8.3,369.1,12.6
2024-11-07 03:12:06.866: 2200.9,0.2,698.2,2.2,654.8,2.6,501.2,5.7,437.4,4.3,433.7,8.0,361.2,3.6,361.0,12.5,359.4,1.8
2024-11-07 03:12:06.943: 2186.0,0.2,779.0,2.2,655.8,2.6,464.7,4.3,407.8,8.0,382.5,13.2,378.8,5.8,374.7,1.8,345.7,7.5
2024-11-07 03:12:07.020: 2170.3,0.2,818.4,2.2,635.9,2.6,476.7,5.7,405.2,13.2,390.7,4.3,382.7,8.0,370.4,1.7,329.2,7.4
2024-11-07 03:12:07.097: 2202.2,0.2,796.6,2.2,637.4,2.6,392.3,13.2,371.0,7.9,361.2,1.7,344.5,4.3,342.2,5.7,337.3,12.5
2024-11-07 03:12:07.174: 2175.8,0.2,715.8,2.6,687.2,2.2,445.6,5.7,370.9,13.0,366.1,7.3,351.8,4.9,338.1,7.9,286.3,4.3
