2024-11-07 03:18:15.612: 2075.7,0.2,1053.8,2.8,642.5,3.3,561.7,4.5,487.2,5.1,463.3,5.8,343.2,2.2,327.2,3.8,239.4,1.7
2024-11-07 03:18:15.688: 2026.3,0.2,838.1,2.7,652.6,3.3,475.3,5.8,388.4,5.1,380.4,4.1,356.9,4.5,340.0,7.6,281.0,7.2
2024-11-07 03:18:15.764: 2065.3,0.2,763.7,2.7,461.5,4.1,458.9,5.1,458.3,5.9,444.5,3.4,315.0,7.6,298.1,7.2,260.5,4.6
2024-11-07 03:18:15.840: 2073.2,0.2,1117.2,2.9,548.4,5.8,509.6,5.2,331.5,7.6,263.9,4.7,255.9,4.1,248.6,8.9,235.2,6.9
2024-11-07 03:18:15.916: 2036.5,0.2,1694.6,2.9,394.0,5.9,388.8,7.1,384.6,5.1,310.1,7.6,295.8,6.7,209.3,10.0,201.9,8.9
2024-11-07 03:18:15.992: 1934.6,0.2,1250.8,2.7,1089.7,3.1,400.1,5.4,361.7,7.0,351.8,5.8,314.0,4.8,295.0,7.6,252.6,8.5
2024-11-07 03:18:16.068: 1969.9,0.2,1585.5,2.8,459.8,4.4,335.8,5.7,321.2,4.8,310.7,7.0,249.8,6.1,229.0,8.5,227.6,6.6
2024-11-07 03:18:16.144: 1925.4,0.2,1710.4,2.9,378.2,5.6,324.8,4.5,308.7,5.0,265.7,7.1,251.6,6.1,245.9,8.5,212.4,6.7
2024-11-07 03:18:16.220: 2048.2,0.2,1398.9,2.8,851.6,3.2,431.9,4.5,417.3,5.7,286.7,5.1,237.3,8.6,227.9,6.5,219.1,7.6
2024-11-07 03:18:16.296: 2051.3,0.2,1307.8,2.7,757.5,3.3,418.8,5.8,322.7,5.0,297.9,4.5,289.7,7.0,276.3,4.2,227.0,7.7
2024-11-07 03:18:16.372: 1990.3,0.2,1036.5,2.9,862.2,3.2,415.7,4.9,399.8,4.5,372.6,5.7,368.4,6.3,245.7,7.0,245.2,9.6
2024-11-07 03:18:16.448: 1931.2,0.2,1097.8,3.3,740.1,2.7,492.2,4.9,465.2,5.5,356.6,6.0,271.7,4.2,195.0,1.7,180.6,9.6
2024-11-07 03:18:16.524: 1939.6,0.2,1263.4,3.1,579.4,5.0,302.1,6.0,286.1,4.2,268.6,2.3,253.5,6.7,239.9,8.2,207.4,10.2
2024-11-07 03:18:16.600: 1928.3,0.2,1542.1,3.2,539.7,5.0,346.6,5.7,282.4,4.5,275.5,7.9,220.8,7.0,205.0,4.2,193.9,8.5
2024-11-07 03:18:16.676: 1915.2,0.2,1536.3,3.3,906.5,2.8,367.8,5.7,366.2,5.1,348.6,6.1,345.3,4.8,302.4,7.9,284.3,7.0
2024-11-07 03:18:16.752: 1866.5,0.2,1762.6,3.3,362.4,7.0,354.1,5.2,316.3,7.8,312.9,6.1,245.4,2.3,244.1,4.8,213.0,4.5
2024-11-07 03:18:16.828: 2021.8,3.3,1904.3,0.2,552.5,2.6,410.3,7.1,362.8,5.3,292.0,4.9,281.6,7.7,242.0,4.3,222.9,5.8
